SUB#1 OK: 82/99 reachable, kept 5 (top_n=5): https://cc20i5h7zc50yf204nto2kaw6dw6pn7l.pages.dev/sub?token=860ca388e2deec1ac98301ff0a4311e6
SUB#2 OK: 81/99 reachable, kept 5 (top_n=5): https://j4mr-d9oj1at9i-8kuayba9kocwx7uzn.pages.dev/sub?token=a739ad9baeaf745fb150460d3d0ae437
SUB#3 OK: 80/99 reachable, kept 5 (top_n=5): https://ns4t32a2zc38o0on-ghqgwsswrh4mqda.pages.dev/sub?token=8d0df1ebf7eac865ac73ec6625517caf
SUB#4 OK: 68/99 reachable, kept 5 (top_n=5): https://f2vgbo9r0alvijz562r7q7squz57xutf.pages.dev/sub?token=1198218197ee64985522675daf3735e9
SUB#5 OK: 81/99 reachable, kept 5 (top_n=5): https://sfsmzggh4hyy2i-0oy5s5dtmkjv2nam6.pages.dev/sub?token=af4dbac83877ac9ac529abe8e22b0bff
SUB#6 DROPPED (fetch failed or no configs found): https://9wz2kxa4jttc4coawn5q6bh8w8prdfy2.4fw.workers.dev/sub?token=cdff20437ba7e7962720c22e576c5328
SUB#7 OK: 83/99 reachable, kept 5 (top_n=5): https://vf3uymn6bu20313tqlfvws58mnqrhxxi.pages.dev/sub?token=c1d3ac7b0c64d23aa3e0d1e26f83bc00
SUB#8 OK: 83/99 reachable, kept 5 (top_n=5): https://mohammad38526.pages.dev/sub?token=6e81357c6086665250585fd54f3dfcff
SUB#9 OK: 77/99 reachable, kept 5 (top_n=5): https://hdradfjhtgfdjsrt.pages.dev/sub?token=c924c9ffc95cdd965c3b522052e0095d
SUB#10 OK: 86/99 reachable, kept 5 (top_n=5): https://ahmad99hoseini.pages.dev/sub?token=4d965d2b5f02ed28e4838c1c7488017b
SUB#11 OK: 79/99 reachable, kept 5 (top_n=5): https://alireza48596.pages.dev/sub?token=c32a4f77171575b6d28499b21e13f3c8
SUB#12 OK: 83/99 reachable, kept 5 (top_n=5): https://alphefedo7865.pages.dev/sub?token=135a5afdd6369eae37393e34aaa0a4ea
SUB#13 OK: 82/99 reachable, kept 5 (top_n=5): https://mohammadhoseini4532.pages.dev/sub?token=f947737fcd8cea37c1e4f2ade4eead73
SUB#14 OK: 82/99 reachable, kept 5 (top_n=5): https://pilot4f8f.pages.dev/sub?token=806601af7ac43d3f2dfa9386ce083cb0
SUB#15 OK: 80/99 reachable, kept 5 (top_n=5): https://rezanoori4295.pages.dev/sub?token=b726fb6d32508b0b26d3956bc6164f4f

Iran reachability (check-host.net): blocked=9, flaky=1, pass=263
  104.19.33.73: pass [solid] (~81ms avg from Iran)
  104.19.33.79: pass [solid] (~87ms avg from Iran)
  104.19.34.166: pass [solid] (~87ms avg from Iran)
  104.19.34.172: pass [solid] (~83ms avg from Iran)
  104.19.34.21: pass [solid] (~85ms avg from Iran)
  104.19.34.68: pass [solid] (~84ms avg from Iran)
  104.19.35.14: pass [solid] (~86ms avg from Iran)
  104.19.35.28: pass [solid] (~79ms avg from Iran)
  104.19.48.155: pass [solid] (~81ms avg from Iran)
  104.19.48.183: pass [solid] (~86ms avg from Iran)
  104.19.49.16: pass [solid] (~83ms avg from Iran)
  104.19.50.241: pass [solid] (~85ms avg from Iran)
  104.19.50.89: pass [solid] (~81ms avg from Iran)
  104.19.51.104: pass [solid] (~86ms avg from Iran)
  104.19.51.25: pass [solid] (~78ms avg from Iran)
  104.19.51.46: pass [solid] (~80ms avg from Iran)
  104.19.53.245: pass [solid] (~83ms avg from Iran)
  104.19.55.202: pass [solid] (~81ms avg from Iran)
  104.19.55.208: pass [solid] (~87ms avg from Iran)
  104.19.55.64: pass [solid] (~81ms avg from Iran)
  104.19.55.74: pass [solid] (~82ms avg from Iran)
  104.26.15.199: pass [solid] (~62ms avg from Iran)
  104.26.15.203: pass [solid] (~74ms avg from Iran)
  104.26.2.248: pass [solid] (~68ms avg from Iran)
  104.26.3.246: pass [solid] (~70ms avg from Iran)
  104.26.3.97: pass [solid] (~58ms avg from Iran)
  104.26.4.130: pass [solid] (~48ms avg from Iran)
  104.26.4.18: pass [solid] (~63ms avg from Iran)
  104.26.6.142: pass [solid] (~64ms avg from Iran)
  104.26.6.82: pass [solid] (~59ms avg from Iran)
  104.26.7.163: pass [solid] (~64ms avg from Iran)
  104.26.7.188: pass [solid] (~67ms avg from Iran)
  104.26.7.195: pass [solid] (~60ms avg from Iran)
  104.26.8.1: pass [solid] (~76ms avg from Iran)
  172.66.0.160: pass [solid] (~88ms avg from Iran)
  172.66.0.18: pass [solid] (~87ms avg from Iran)
  172.66.0.203: pass [solid] (~87ms avg from Iran)
  172.66.0.40: pass [solid] (~84ms avg from Iran)
  172.66.0.80: pass [solid] (~83ms avg from Iran)
  172.66.0.94: pass [solid] (~81ms avg from Iran)
  172.66.1.177: pass [solid] (~81ms avg from Iran)
  172.66.1.9: pass [solid] (~82ms avg from Iran)
  172.67.65.127: pass [solid] (~86ms avg from Iran)
  172.67.65.72: pass [solid] (~85ms avg from Iran)
  172.67.66.143: pass [solid] (~86ms avg from Iran)
  172.67.66.161: pass [solid] (~86ms avg from Iran)
  172.67.67.184: pass [solid] (~87ms avg from Iran)
  172.67.69.146: pass [solid] (~82ms avg from Iran)
  172.67.72.208: pass [solid] (~87ms avg from Iran)
  172.67.73.210: pass [solid] (~85ms avg from Iran)
  172.67.73.251: pass [solid] (~87ms avg from Iran)
  172.67.76.223: pass [solid] (~83ms avg from Iran)
  172.67.76.245: pass [solid] (~83ms avg from Iran)
  172.67.79.150: pass [solid] (~84ms avg from Iran)
  172.67.79.239: pass [solid] (~81ms avg from Iran)
  188.164.248.129: pass [solid] (~59ms avg from Iran)
  188.164.248.139: pass [solid] (~51ms avg from Iran)
  188.164.248.159: pass [solid] (~58ms avg from Iran)
  188.164.248.16: pass [solid] (~58ms avg from Iran)
  188.164.248.17: pass [solid] (~68ms avg from Iran)
  188.164.248.209: pass [solid] (~65ms avg from Iran)
  188.164.248.249: pass [solid] (~64ms avg from Iran)
  188.164.248.90: pass [solid] (~58ms avg from Iran)
  188.164.248.93: pass [solid] (~65ms avg from Iran)
  8.35.211.100: pass [solid] (~50ms avg from Iran)
  8.35.211.113: pass [solid] (~74ms avg from Iran)
  8.35.211.155: pass [solid] (~58ms avg from Iran)
  8.35.211.160: pass [solid] (~50ms avg from Iran)
  8.35.211.24: pass [solid] (~67ms avg from Iran)
  8.35.211.30: pass [solid] (~58ms avg from Iran)
  8.35.211.35: pass [solid] (~59ms avg from Iran)
  8.35.211.45: pass [solid] (~58ms avg from Iran)
  8.35.211.49: pass [solid] (~49ms avg from Iran)
  8.39.125.123: pass [solid] (~66ms avg from Iran)
  8.39.125.155: pass [solid] (~50ms avg from Iran)
  8.39.125.170: pass [solid] (~50ms avg from Iran)
  8.39.125.173: pass [solid] (~66ms avg from Iran)
  8.39.125.18: pass [solid] (~59ms avg from Iran)
  8.39.125.180: pass [solid] (~66ms avg from Iran)
  8.39.125.202: pass [solid] (~59ms avg from Iran)
  8.39.125.229: pass [solid] (~70ms avg from Iran)
  8.39.125.233: pass [solid] (~58ms avg from Iran)
  8.39.125.45: pass [solid] (~73ms avg from Iran)
  8.39.125.48: pass [solid] (~49ms avg from Iran)
  8.39.125.51: pass [solid] (~57ms avg from Iran)
  91.193.58.149: pass [solid] (~73ms avg from Iran)
  91.193.58.154: pass [solid] (~56ms avg from Iran)
  91.193.58.17: pass [solid] (~57ms avg from Iran)
  91.193.58.74: pass [solid] (~59ms avg from Iran)
  91.193.59.113: pass [solid] (~50ms avg from Iran)
  91.193.59.115: pass [solid] (~59ms avg from Iran)
  91.193.59.141: pass [solid] (~52ms avg from Iran)
  91.193.59.149: pass [solid] (~49ms avg from Iran)
  91.193.59.151: pass [solid] (~56ms avg from Iran)
  91.193.59.164: pass [solid] (~49ms avg from Iran)
  91.193.59.166: pass [solid] (~50ms avg from Iran)
  91.193.59.22: pass [solid] (~57ms avg from Iran)
  91.193.59.235: pass [solid] (~66ms avg from Iran)
  91.193.59.250: pass [solid] (~57ms avg from Iran)
  91.193.59.62: pass [solid] (~51ms avg from Iran)
  104.26.7.202: flaky (~51ms avg from Iran)
  104.17.112.35: blocked
  104.19.33.167: blocked
  188.164.248.118: blocked
  188.164.248.144: blocked
  8.35.211.158: blocked
  8.39.125.81: blocked (~18ms avg from Iran)
  91.193.58.202: blocked
  91.193.58.99: blocked
  91.193.59.8: blocked
